# Generated by scripts/generate_inversions.py (PLAN §5.2 pass 2).
# Sense-keyed: one row per (trigger, sense). See senses.py.
trigger	replacement	hard_word	pos	trigger_sense	block_context	require_context	note
copy	emulate	emulate	VERB	to follow a person or achievement as a model in order to match it	paste|file|photocopy|document|machine|clipboard|homework|cheating|text	success|style|example|achievement|hero|career|model|approach	
follow the example of	emulate	emulate	VERB	to model oneself on someone in order to match them			
drain	enervate	enervate	VERB	to deprive a person of energy and vitality	sink|pipe|water|swamp|plug|clogged|oil|bathtub|battery|fluid|blood	energy|strength|spirit|morale|staff|workers|him|her|them|people	
tire out	enervate	enervate	VERB	to leave someone exhausted and without energy	wheel|flat|spare|rubber		
exhausting	enervating	enervate	ADJ	causing a loss of energy and vitality	supply|resources|reserves|options|fumes|exhaust		
short-lived	ephemeral	ephemeral	ADJ	lasting only a very short time			
fleeting	ephemeral	ephemeral	ADJ	lasting for a very short time			
temporary	ephemeral	ephemeral	ADJ	lasting only a brief while	staffing|agency|worker|contract|injunction|housing|visa|permit|restraining	pleasure|beauty|fame|moment|joy|nature|glory|fashion|trend	
passionate	fervid	fervid	ADJ	showing intense, excessive enthusiasm	kiss|lover|romance|affair|sex|embrace		
intense	fervid	fervid	ADJ	marked by extreme, heated enthusiasm	heat|pain|light|color|training|competition|pressure|cold|flavor	belief|supporter|devotion|admirer|nationalism|enthusiasm|admiration|zeal|loyalty	
zealous	fervid	fervid	ADJ	excessively enthusiastic and passionate			
talkative	garrulous	garrulous	ADJ	excessively given to talking, especially about trivia			
chatty	garrulous	garrulous	ADJ	inclined to talk a great deal about unimportant things	email|tone|newsletter|blog|style of writing		
long-winded	garrulous	garrulous	ADJ	talking at tedious length		speaker|man|woman|host|uncle|neighbor|guide|narrator|storyteller	
inflammatory	incendiary	incendiary	ADJ	likely to provoke anger or conflict	bowel|disease|response|cytokine|arthritis|tissue|drug|condition|anti-inflammatory		
provocative	incendiary	incendiary	ADJ	deliberately intended to stir up conflict or anger	dress|outfit|pose|photo|lingerie|seductive	remark|remarks|comments|rhetoric|speech|language|tweet|statement|article	
hostile	inimical	inimical	ADJ	unfriendly and harmful to something's interests	takeover|bid|fire|crowd|army|forces|territory|witness|hostile environment policy		
harmful	inimical	inimical	ADJ	tending to obstruct or damage something's interests	chemicals|toxic|dose|radiation|smoking|bacteria|pesticide	interests|freedom|liberty|growth|democracy|progress|creativity|development|values	
unfriendly	inimical	inimical	ADJ	showing hostility toward someone or something	user-friendly|eco-friendly		
energize	invigorate	invigorate	VERB	to give strength and vitality to someone or something	battery|circuit|coil|grid|electrons|magnet		
revitalize	invigorate	invigorate	VERB	to give fresh strength or energy to			
refreshing	invigorating	invigorate	ADJ	giving a feeling of renewed energy	drink|beverage|lemonade|beer|cocktail|taste|flavor|honesty|change of pace|candor		
lessen	mitigate	mitigate	VERB	to make something bad less severe		risk|risks|impact|damage|harm|effects|severity|consequences|pain|loss	
reduce	mitigate	mitigate	VERB	to make something harmful less serious	price|cost|weight|calories|recipe|sauce|fraction|staff|tax|by half|percent	risk|risks|harm|damage|impact|effects|severity|suffering|losses	
ease	mitigate	mitigate	VERB	to make something painful or serious less severe	ease of use|with ease|at ease|eased into|ease off|comfort	pain|suffering|burden|hardship|tensions|crisis|shortage|effects	
outdated	obsolete	obsolete	ADJ	no longer in use because superseded			
out of date	obsolete	obsolete	ADJ	no longer current or in use	milk|expiry|expiration|passport|food|yogurt		
old-fashioned	obsolete	obsolete	ADJ	superseded and no longer used	charm|values|cocktail|manners|courtesy|hospitality|romance|recipe	technology|equipment|machine|system|method|software|hardware|model|term	
unclear	opaque	opaque	ADJ	hard to understand, obscure in meaning	it is unclear whether|unclear how many|remains unclear|photo|image|audio|recording|pronunciation		
impenetrable	opaque	opaque	ADJ	impossible to understand	wall|fortress|armor|forest|jungle|barrier|defense	prose|jargon|language|text|writing|argument|terminology	
murky	opaque	opaque	ADJ	obscure and not transparent, hard to see into or understand	water|river|pond|depths|swamp|liquid|broth	dealings|finances|process|rules|accounting|world of|details	
pressure	coercion	coercion	NOUN	forceful persuasion applied to a person to make them act	blood|air|water|tire|gauge|atmospheric|psi|valve|pump|steam|hydraulic|cooker		
intimidation	coercion	coercion	NOUN	the use of threats to make someone comply			
force	coercion	coercion	NOUN	compulsion exerted on a person to obtain compliance	gravity|physics|newton|magnetic|police|air force|task force|labor force|workforce|military|troops|friction|momentum	threat|consent|confession|against	
sly	cunning	cunning	ADJ	clever in a deceitful, underhanded way			
crafty	cunning	cunning	ADJ	skilled at deception to get what one wants	craft fair|knitting|scrapbook		
trickery	cunning	cunning	NOUN	skillful use of deceit to achieve an aim	magic|magician|card trick|illusion		
embarrass	discomfit	discomfit	VERB	cause someone to feel awkward or self-conscious	financially|funds|bankrupt		
embarrassed	discomfited	discomfit	VERB	made to feel awkward or self-conscious	financially|funds|bankrupt		
unsettle	discomfit	discomfit	VERB	make someone uneasy or disturbed	dust|sediment|soil|settlement|account|debt		
disagreement	dissent	dissent	NOUN	opposition to a prevailing or official opinion	marital|couple|spouse|neighbors|boundary dispute		
disagree	dissent	dissent	VERB	hold or express a contrary opinion to an official or majority view	food|stomach|climate|agree to disagree		
disagreed	dissented	dissent	VERB	expressed a contrary opinion to an official or majority view	food|stomach		
condense	distill	distill	VERB	reduce something to its essential content	steam|vapor|vapour|moisture|water|gas|window|droplets|milk	argument|idea|ideas|message|report|book|findings|wisdom|essence|lesson|lessons|story	
purify	distill	distill	VERB	remove impurities from a liquid	soul|spirit|ritual|air|conscience	water|alcohol|liquid|spirits|seawater|solution	
summarize	distill	distill	VERB	reduce a body of material to its key points		essence|core|key points|central idea|wisdom	
doubtful	dubious	dubious	ADJ	feeling uncertain or hesitant about something			
questionable	dubious	dubious	ADJ	of suspect quality, honesty, or morality			
shady	dubious	dubious	ADJ	morally suspect, not honest	tree|trees|sun|sunlight|garden|porch|spot|grove|shade|cool		
cheerful	ebullient	ebullient	ADJ	visibly happy and full of energy			
bubbly	ebullient	ebullient	ADJ	lively and enthusiastic in personality	champagne|drink|soda|water|bath|glass|wine|prosecco|carbonated	personality|mood|she|he|character|crowd	
high-spirited	ebullient	ebullient	ADJ	lively and exuberant	horse|mare|stallion		
tongue-in-cheek	facetious	facetious	ADJ	not meant seriously, jokingly said			
flippant	facetious	facetious	ADJ	not showing due seriousness about a serious matter			
joking	facetious	facetious	ADJ	speaking in jest about something serious	laughing|joking around|practical joke	only|just|merely|being	
imperfect	fallible	fallible	ADJ	liable to error, not infallible	tense|verb|grammar|copy|condition|pitch|market|imperfect competition	human|humans|people|judge|judges|memory|witness|we|they	
error-prone	fallible	fallible	ADJ	apt to make mistakes			
flushed	florid	florid	ADJ	red in the face	toilet|water|pipes|cheeks with success|system|cache|drain|bathroom	face|cheeks|complexion|skin|features	
ruddy	florid	florid	ADJ	having a healthy red complexion	ruddy hell|bloody		
flowery	florid	florid	ADJ	excessively elaborate in style or language	meadow|garden|dress|print|pattern|fabric|wallpaper|scent|perfume|tea	prose|language|style|speech|writing|words|phrases|description	
awkward	gawky	gawky	ADJ	physically ungainly and ill-coordinated	silence|pause|moment|question|situation|conversation|position|angle|timing|truth	teenager|teen|adolescent|boy|girl|limbs|tall|youth|kid|lanky	
clumsy	gawky	gawky	ADJ	moving in an ungainly, uncoordinated way	attempt|translation|phrase|sentence|metaphor|design|apology	teenager|teen|boy|girl|limbs|tall|youth|walk|gait	
sweet-talk	inveigle	inveigle	VERB	persuade by flattery			
sweet-talked	inveigled	inveigle	VERB	persuaded by flattery			
coaxed	inveigled	inveigle	VERB	persuaded someone by gentle flattery or wheedling	fire|engine|flame|cat|dog|car|machine	into|him|her|them|investors|victim	
discard	jettison	jettison	VERB	get rid of something no longer wanted	card|cards|poker|hand|deck|discard pile		
discarded	jettisoned	jettison	VERB	got rid of something no longer wanted	card|cards|poker|deck|discard pile		
abandon	jettison	jettison	VERB	give up a plan, policy, or idea	baby|child|children|dog|pet|wife|husband|family|ship|building|abandon hope|reckless abandon	plan|plans|policy|idea|project|proposal|strategy|effort|pledge|promise	
dishonesty	mendacity	mendacity	NOUN	the quality of being untruthful	theft|stealing|fraud|embezzlement|cheating on a test		
lying	mendacity	mendacity	NOUN	the practice of telling lies	bed|floor|ground|down|awake|beach|sofa|grass|around|ahead|in wait		
untruthfulness	mendacity	mendacity	NOUN	the quality of not telling the truth			
generous	munificent	munificent	ADJ	giving on a lavish scale, especially of money or gifts	helping|portion|serving|slice|dose|pinch|amount|interpretation|spirit|to a fault|waistband|fit	donation|gift|donor|benefactor|grant|bequest|funding|patron|endowment|sum|gesture	
lavish	munificent	munificent	ADJ	given in great and generous quantity	party|wedding|banquet|decor|lifestyle|costumes|set|production|praise	gift|gifts|donation|grant|sum|funding|bequest	
unorthodox	heterodox	heterodox	ADJ	not conforming to accepted standards or beliefs			
unconventional	heterodox	heterodox	ADJ	departing from accepted doctrine or practice	weapon|warfare|beauty|looks		
melodramatic	histrionic	histrionic	ADJ	exaggeratedly emotional behavior meant to attract attention			
theatrical	histrionic	histrionic	ADJ	overly dramatic in manner	theater|theatre|stage|production|company|release|play|troupe		
unspoken	implicit	implicit	ADJ	understood without being stated			
unstated	implicit	implicit	ADJ	implied but not directly expressed			
absolute	implicit	implicit	ADJ	unqualified, complete (of trust, faith, obedience)	zero|temperature|value|monarch|monarchy|power|majority|number|terms|poverty|beginner	trust|faith|obedience|confidence	
untouched	inviolate	inviolate	ADJ	free from injury or violation, preserved intact	food|meal|plate|drink|hand|skin		
sacred	inviolate	inviolate	ADJ	not to be violated or infringed	god|church|temple|holy|ritual|scripture|priest|religion		
responsibility	liability	liability	NOUN	legal or financial answerability for something	duty|chore|parenting|job description|mature|adult	legal|damages|claim|insurance|court|contract|law|tax|debt	
burden	liability	liability	NOUN	person or thing that is a drag or risk to others	carry|load|weight|shoulders|proof|tax burden	team|campaign|company|party|become|more of a	
stubborn	obstinate	obstinate	ADJ	refusing to change one's opinion or course of action			
stubbornly	obstinately	obstinate	ADV	in a manner refusing to yield or change			
thorough	painstaking	painstaking	ADJ	done with great care and attention to detail	thoroughly cooked|wash|clean|rinse		
careful	painstaking	painstaking	ADJ	marked by meticulous effort and attention to detail	careful!|watch out|danger|injury|fall|spill	work|research|study|analysis|detail|restoration|process|effort|reconstruction|documentation	
meticulous	painstaking	painstaking	ADJ	showing great attention to detail			
unemotional	phlegmatic	phlegmatic	ADJ	not showing or affected by emotion; calm			
impassive	phlegmatic	phlegmatic	ADJ	showing no emotion, stolidly calm			
enormous	prodigious	prodigious	ADJ	remarkably great in size, extent or degree			
immense	prodigious	prodigious	ADJ	extremely large in amount or degree			
huge	prodigious	prodigious	ADJ	very great in quantity, talent or degree		talent|appetite|amount|memory|output|strength|energy|quantity|sums|effort	
tendency	propensity	propensity	NOUN	an inclination to behave in a particular way	central tendency|statistic|mean|median		
inclination	propensity	propensity	NOUN	a natural disposition to act a certain way	angle|slope|axis|degrees|head		
misgiving	qualm	qualm	NOUN	a feeling of doubt or unease about a course of action			
misgivings	qualms	qualm	NOUN	feelings of doubt or unease about a course of action			
second thoughts	qualms	qualm	NOUN	doubts or reservations about doing something			
back out of	renege on	renege	VERB	fail to keep to an agreement or promise	driveway|parking|garage|car	deal|agreement|contract|promise|commitment|pledge	
backed out of	reneged on	renege	VERB	failed to keep to an agreement or promise	driveway|parking|garage|car	deal|agreement|contract|promise|commitment|pledge	
broke	reneged on	renege	VERB	failed to honor a promise or agreement	window|glass|bone|arm|leg|record|silence|news|broke down|broke up|broke out|broke into	promise|pledge|vow|agreement|word	
skimping	stinting	stinting	VERB	supplying too little of something; being ungenerous			
stingy	stinting	stinting	ADJ	unwilling to give or spend enough			
provisional	tentative	tentative	ADJ	not final or certain; subject to change	government|ballot|license|patent|IRA		
hesitant	tentative	tentative	ADJ	uncertain and cautious in manner or action			
preliminary	tentative	tentative	ADJ	provisional, subject to later revision	round|heat|hearing|injunction|match	agreement|deal|plan|date|schedule|conclusion|finding|estimate|results	
unheard-of	unprecedented	unprecedented	ADJ	never known or done before			
record-breaking	unprecedented	unprecedented	ADJ	exceeding anything previously known			
cliché	platitude	platitude	NOUN	a trite, overused remark or saying	film|movie|horror|genre|plot|costume|visual		
clichés	platitudes	platitude	NOUN	trite, overused remarks or sayings	film|movie|genre|plot|visual|costume		
truism	platitude	platitude	NOUN	a self-evident, unoriginal statement			
prophetic	prescient	prescient	ADJ	accurately anticipating later events	prophet|biblical|scripture|messiah|Isaiah|revelation|church		
farsighted	prescient	prescient	ADJ	having foresight about future developments	glasses|lens|vision|eye|optometrist		
far-sighted	prescient	prescient	ADJ	having foresight about future developments	glasses|lens|vision|eye|optometrist		
spotless	pristine	pristine	ADJ	perfectly clean and unmarked	record|reputation|integrity		
immaculate	pristine	pristine	ADJ	perfectly clean and tidy	conception|Mary|Virgin		
untouched	pristine	pristine	ADJ	unspoiled, in its original fresh state	meal|plate|food|dinner|drink|sandwich|hand|body	wilderness|forest|landscape|beach|snow|coastline|habitat|reef|valley|island	
criticism	reproach	reproach	NOUN	expressed disapproval of someone's conduct	literary|film|art|review|reviewer|critic|theory|constructive|feedback		
rebuke	reproach	reproach	NOUN	a sharp expression of disapproval			
scolding	reproach	reproach	NOUN	an angry expression of disapproval			
sturdy	robust	robust	ADJ	strongly built and able to withstand strain			
strong	robust	robust	ADJ	vigorous and resilient (of a system, economy, body, or design)	taste|flavour|flavor|coffee|tea|smell|odour|odor|drink|wine|accent|language|word|wind|gale|current|magnet|acid|opinion|feeling|suspicion|possibility|candidate|favourite		
hardy	robust	robust	ADJ	able to endure difficult conditions			
healthy	salubrious	salubrious	ADJ	health-giving, good for one's well-being (of air, climate, place)	diet|eating|food|meal|snack|weight|patient|lifestyle|exercise|teeth|heart|baby	climate|air|sea|mountain|countryside|surroundings|neighbourhood|neighborhood|district|resort|spa|environment	
wholesome	salubrious	salubrious	ADJ	conducive to health and well-being	meme|family-friendly|cartoon		
approval	sanction	sanction	NOUN	official permission or authorization	rating|ratings|popularity|poll|polls|seeking|approval-seeking|parental|peer|nod|smile	official|government|court|board|committee|legal|authority|state|papal|royal	
penalties	sanctions	sanction	NOUN	punitive measures imposed for breaking rules	football|soccer|goal|kick|referee|foul|shootout|hockey|game|match|yards		
authorize	sanction	sanction	VERB	give official permission for			
diligent	sedulous	sedulous	ADJ	showing careful, persistent effort			
painstaking	sedulous	sedulous	ADJ	done with great care and diligence			
diligently	sedulously	sedulous	ADV	with careful and persistent effort			
boring	soporific	soporific	ADJ	tediously dull	drill|drilled|hole|machine|tunnel|bore|diameter		
dull	soporific	soporific	ADJ	tediously uninteresting	blade|knife|axe|edge|pain|ache|throb|colour|color|grey|gray|light|shine|finish|thud|roar|sky		
sleep-inducing	soporific	soporific	ADJ	tending to cause sleep			
biased	tendentious	tendentious	ADJ	presented so as to promote a partisan viewpoint	sample|sampling|statistical|estimator|coin|algorithm|dataset		
one-sided	tendentious	tendentious	ADJ	unfairly favouring one point of view	match|game|contest|score|fight|affair		
slanted	tendentious	tendentious	ADJ	presented with a partisan bias	roof|floor|ceiling|angle|eyes|handwriting|surface		
emphasize	accentuate	accentuate	VERB	make more noticeable or prominent			
emphasizes	accentuates	accentuate	VERB	makes more noticeable or prominent			
highlight	accentuate	accentuate	VERB	draw attention to a feature, making it stand out	marker|pen|text|yellow|cursor|cell|row|spreadsheet|hair|salon		
speculative	conjectural	conjectural	ADJ	based on guesswork rather than evidence	investment|investor|stocks|market|bubble|trading|property|fiction|builder|developer		
hypothetical	conjectural	conjectural	ADJ	supposed rather than established	question|scenario|syllogism		
friendly	convivial	convivial	ADJ	warm and sociable in a lively, enjoyable way	user-friendly|eco-friendly|match|fixture|fire|forces|reminder|advice|staff|service|dog	atmosphere|gathering|dinner|evening|company|mood|host|party|conversation|table|pub|meal	
sociable	convivial	convivial	ADJ	enjoying the company of others			
jovial	convivial	convivial	ADJ	cheerful and friendly			
degenerate	decadent	decadent	ADJ	having declined morally or culturally	cells|tissue|disease|matrix|orbital|energy|gas|star|physics		
decaying	decadent	decadent	ADJ	in a state of moral or cultural decline	tooth|teeth|leaves|wood|corpse|body|radioactive|isotope|fruit|food|building|roof	society|culture|empire|aristocracy|elite|morals|civilization|regime|era	
self-indulgent	decadent	decadent	ADJ	given over to luxury and pleasure to an excessive degree			
blatant	egregious	egregious	ADJ	shockingly obvious and bad			
glaring	egregious	egregious	ADJ	conspicuously bad (of an error or omission)	sun|sunlight|light|lamp|headlights|eyes|stare|stared|glare|white|screen		
outrageous	egregious	egregious	ADJ	shockingly bad or unacceptable	outfit|costume|hat|hair|funny|comedy|accent|luck		
ponder	cogitate	cogitate	VERB	to think deeply about something			
pondered	cogitated	cogitate	VERB	thought deeply about something (past)			
mull over	cogitate on	cogitate	VERB	to consider at length	wine|cider|spiced		
behavior	deportment	deportment	NOUN	a person's manner of conducting themselves in public	animal|rat|mice|cell|market|consumer|system|material|dog|organizational		
manners	deportment	deportment	NOUN	a person's outward bearing and etiquette			
bearing	deportment	deportment	NOUN	the way a person holds and carries themselves	ball|wheel|load|compass|shaft|engine|north|south|east|west|fruit		
improvise	extemporize	extemporize	VERB	to speak or perform without preparation	shelter|tool|weapon|bomb|raft|splint|meal		
improvised	extemporized	extemporize	VERB	spoke or performed without preparation (past tense)	shelter|tool|weapon|explosive|bomb|raft|splint|device		
ad-lib	extemporize	extemporize	VERB	to make up words on the spot			
divided	factious	factious	ADJ	split into quarrelling groups (of a party, group, or assembly)	number|remainder|cell|highway|attention|opinion polls|equally	party|faction|coalition|assembly|congress|opposition|movement|church|leadership	
quarrelsome	factious	factious	ADJ	given to internal disputes within a group		party|faction|group|coalition|members|assembly	
uncultivated	fallow	fallow	ADJ	of land, left unplanted	mind|taste|manners		
idle	fallow	fallow	ADJ	not in use or productive for a period	lazy|gossip|chatter|threat|curiosity|engine|rich	land|field|acre|farm|soil|period|years|season	
dormant	fallow	fallow	ADJ	temporarily inactive	volcano|virus|bacteria|seed|gene|account		
bluff	feint	feint	NOUN	a deceptive move meant to mislead an opponent	cliff|poker|cards|hand|overlooking|river|called his bluff		
fake	feint	feint	NOUN	a deceptive movement in sport or combat	news|painting|currency|designer|document|passport	boxer|punch|opponent|defender|move|left|right|attack	
blatant	flagrant	flagrant	ADJ	openly and offensively obvious (of a wrongdoing)			
glaring	flagrant	flagrant	ADJ	obvious and offensive (of an error or violation)	sun|light|headlights|eyes|stared|lamp	violation|breach|abuse|error|disregard|injustice|foul|misconduct	
outright	flagrant	flagrant	ADJ	open and undisguised (of an offense)	win|victory|purchase|majority|ban|owner	lie|violation|abuse|fraud|defiance|contempt	
unnecessary	gratuitous	gratuitous	ADJ	uncalled for and unjustified (esp. of offensive content)	surgery|expense|cost|delay|risk of injury|paperwork	violence|sex|nudity|insult|cruelty|swearing|gore|offensive	
uncalled-for	gratuitous	gratuitous	ADJ	unwarranted and undeserved			
free	gratuitous	gratuitous	ADJ	given without charge	freedom|liberty|time|speech|escape|released|gluten|sugar-free|from	service|advice|of charge|distribution|copy	
crawl	grovel	grovel	VERB	to move abjectly on the ground, prostrate oneself	traffic|baby|web|pub|stroke|swimming|insect|slowly along the road	feet|knees|beg|forgiveness|mercy|before him|master|floor	
beg	grovel	grovel	VERB	to plead abjectly and humbly	money|street|alms|dog|question|pardon|differ	forgiveness|mercy|apologize|boss|pleaded|humiliating	
fawn	grovel	grovel	VERB	to behave obsequiously to gain favor	deer|doe|colour|brown		
improper	indecorous	indecorous	ADJ	not in keeping with good taste or propriety of behavior	fraction|integral|noun|use of funds|installation|accounting|medical	behavior|conduct|remark|haste|laughter|dress|manner|joke	
unseemly	indecorous	indecorous	ADJ	not proper or appropriate in behavior			
unbecoming	indecorous	indecorous	ADJ	not fitting or seemly in conduct	dress|hat|colour|hairstyle	conduct|behavior|officer|gentleman|lady	
plotting	intrigue	intrigue	NOUN	secret scheming to do something illicit	graph|chart|data|points|axis|course|map		
scheming	intrigue	intrigue	NOUN	underhand planning			
conspiracy	intrigue	intrigue	NOUN	secret plan by a group to do something wrong	theory|theories|charged|indictment|statute|commit	court|palace|political|rival|faction|plot	
token	nominal	nominal	ADJ	small and merely symbolic (of an amount or gesture)	subway|arcade|authentication|access token|security|API|coin|ring	fee|amount|sum|payment|gesture|rent|price|charge	
small	nominal	nominal	ADJ	trivially low (of a fee or charge)	business|town|child|talk|print|room|house|dog	fee|charge|sum|surcharge	
in name only	nominal	nominal	ADJ	existing in name but not in reality			
stubborn	obdurate	obdurate	ADJ	refusing to change one's opinion or course	stain|weed|cough|grease|rust|fat|dirt		
unyielding	obdurate	obdurate	ADJ	refusing to be persuaded or to soften	steel|rock|surface|concrete|material|stiff		
inflexible	obdurate	obdurate	ADJ	unwilling to change a stance	plastic|joint|material|spine|hose|schedule	refused|attitude|stance|insisted|opposition|remained	
unruly	obstreperous	obstreperous	ADJ	noisy and hard to control	hair|curls|eyebrows		
rowdy	obstreperous	obstreperous	ADJ	noisy and disorderly			
boisterous	obstreperous	obstreperous	ADJ	noisily energetic and difficult to manage	waves|sea|wind|gale		
hateful	odious	odious	ADJ	arousing strong dislike or repugnance			
repulsive	odious	odious	ADJ	causing intense distaste or disgust	force|magnet|charge|particles		
detestable	odious	odious	ADJ	deserving intense dislike			
merge	coalesce	coalesce	VERB	of separate things: join together into a single mass or whole	company|companies|firm|merger|acquisition|bank|lane|traffic|file|files|document|cells|spreadsheet|branch		
merged	coalesced	coalesce	VERB	past tense: joined together into a single mass or whole	company|companies|firm|merger|acquisition|bank|lane|traffic|file|files|document|cells|branch		
come together	coalesce	coalesce	VERB	unite into one body or whole	meeting|dinner|party|reunion		
convincing	cogent	cogent	ADJ	of an argument or reasoning: persuasive because logically sound	victory|win|margin|lead|performance|actor|acting|impersonation|disguise		
persuasive	cogent	cogent	ADJ	good at convincing through clear reasoning	salesman|charm|smile|voice		
gripping	compelling	compelling	ADJ	holding one's attention powerfully	hand|handle|rope|tightly|fingers|wheel|tyres|tires		
fascinating	compelling	compelling	ADJ	extremely interesting, holding attention			
argue	contend	contend	VERB	assert or maintain a position in debate	quarrel|quarrelled|fight|fought|shouting|angrily|spouse|parents|neighbours|neighbors		
argues	contends	contend	VERB	asserts or maintains a position in debate	quarrel|fight|fought|shouting|angrily|spouse|parents|neighbours|neighbors		
claims	contends	contend	VERB	asserts something to be the case	insurance|damages|compensation|refund|baggage|luggage|benefits|expenses|warranty|policy		
plentiful	copious	copious	ADJ	existing in large quantities			
abundant	copious	copious	ADJ	present in great quantity			
ample	copious	copious	ADJ	more than enough in quantity	room|space|parking|legroom|bosom|figure|opportunity|time|warning		
multicultural	cosmopolitan	cosmopolitan	ADJ	containing a mixture of cultures and nationalities			
international	cosmopolitan	cosmopolitan	ADJ	of a place: having residents and influences from many countries	flight|airport|law|trade|relations|treaty|market|students|shipping|edition|call|phone	city|town|crowd|atmosphere|feel|neighbourhood|neighborhood|district|vibe	
respect	deference	deference	NOUN	polite submissive regard shown to someone of higher standing	aspect|regard|regards|respects|mutual|self|earn|earned|many|certain|some|one		
respect for	deference to	deference	NOUN	deferential regard shown toward an authority or person	aspect|respects|self|mutual|environment|privacy|diversity	authority|elders|tradition|court|hierarchy|judge|superiors|seniority|king|emperor	
aimless	desultory	desultory	ADJ	without plan or purpose			
half-hearted	desultory	desultory	ADJ	done without enthusiasm or effort			
haphazard	desultory	desultory	ADJ	lacking order or plan, random			
shy	diffident	diffident	ADJ	reserved and lacking self-confidence around others	away|shies|shied|camera|work-shy|gun-shy|short|of		
timid	diffident	diffident	ADJ	lacking confidence, hesitant to assert oneself	mouse|animal|deer|creature|prey		
self-conscious	diffident	diffident	ADJ	awkward and lacking confidence in company	deliberately|artistically|style|irony		
delaying	dilatory	dilatory	ADJ	intended to cause delay		tactics|tactic|motion|motions|manoeuvre|maneuver|strategy|measures	
stalling	dilatory	dilatory	ADJ	designed to postpone or obstruct	engine|car|motor|economy|plane|aircraft	tactics|tactic|motion|strategy|measures	
hedge	equivocate	equivocate	VERB	avoid committing oneself by speaking ambiguously	garden|bushes|shrub|trim|plant|fund|bet|bets|risk|currency|portfolio|row		
hedged	equivocated	equivocate	VERB	avoided committing oneself by speaking ambiguously	garden|bushes|shrub|fund|bet|bets|risk|currency|portfolio|field		
waffle	equivocate	equivocate	VERB	speak vaguely and evasively without committing	breakfast|syrup|iron|batter|brunch|maker|frozen		
divide	polarize	polarize	VERB	split people into two opposing groups	number|numbers|math|mathematics|equation|remainder|land|property|estate|cake|room|cells|tasks|chapters	opinion|public|voters|country|nation|debate|electorate|society|party|community|audience	
divided	polarized	polarize	VERB	split into two sharply opposing groups	number|math|equation|remainder|land|property|estate|cake|room|cells|chapters|tasks	opinion|public|voters|country|nation|debate|electorate|society|party|community|audience	
deeply divided	polarized	polarize	ADJ	split into two sharply contrasting camps	land|property|estate		
wasteful	prodigal	prodigal	ADJ	spending money or resources recklessly	water|energy|electricity|packaging|food|plastic|emissions|recycling	money|spending|spent|funds|cash|wealth|fortune|budget|inheritance	
extravagant	prodigal	prodigal	ADJ	spending much more money than is necessary	claims|claim|praise|gesture|language|promises|compliments	money|spending|spent|lifestyle|wealth|fortune|budget|tastes|habits	
wordy	verbose	verbose	ADJ	using more words than needed			
long-winded	verbose	verbose	ADJ	tediously lengthy in speech or writing			
refrain	abstain	abstain	VERB	hold oneself back from doing something	chorus|song|lyrics|melody|repeated|hymn|poem|verse		
refrained	abstained	abstain	VERB	held oneself back from doing something	chorus|song|lyrics|hymn|poem|verse		
refrains from	abstains from	abstain	VERB	habitually holds back from doing something	chorus|song|lyrics|hymn		
predictable	foreseeable	foreseeable	ADJ	able to be known or anticipated in advance (of events, risks, consequences)	plot|ending|boring|dull|cliché|joke|punchline|formula|routine|predictably		
near future	foreseeable future	foreseeable	NOUN	the period ahead that can be anticipated			
abandon	forsake	forsake	VERB	give up or desert a person, faith, cause or commitment one owes loyalty to	ship|car|vehicle|building|warehouse|luggage|cargo|mine|site|baggage		
abandoning	forsaking	forsake	VERB	giving up or deserting a person, faith, cause or commitment	ship|car|vehicle|building|warehouse|luggage|cargo|site		
pleased	gratified	gratify	ADJ	feeling pleasure or satisfaction at something			
satisfy	gratify	gratify	VERB	fulfil a desire, craving or appetite; give pleasure to	requirement|requirements|criteria|condition|conditions|equation|debt|obligation|standard|standards|court|test|proof		
satisfied	gratified	gratify	ADJ	feeling contented pleasure at an outcome	requirement|requirements|criteria|conditions|equation|court|debt|obligation|standards		
pay attention to	heed	heed	VERB	take notice of and act on something said or shown			
listen to	heed	heed	VERB	take notice of advice or a warning	music|song|songs|radio|podcast|album|record|recording|playlist	advice|warning|warnings|counsel|plea|pleas|calls|appeal|appeals	
take notice of	heed	heed	VERB	pay attention to something			
wise	judicious	judicious	ADJ	showing good judgment (of a decision, choice or move)	guy|wisecrack|cracks|owl|otherwise|sage|elders|old man		
sensible	judicious	judicious	ADJ	showing practical good judgment	shoes|boots|clothes|clothing|footwear|skirt|haircut		
careful	judicious	judicious	ADJ	showing discerning good judgment in selecting or applying something	driver|driving|step|steps|not to|fall|knife|fragile	use|selection|choice|blend|mix|application|combination|balance|editing	
clear	lucid	lucid	ADJ	easy to understand; expressed plainly (of writing, speech or thought)	water|sky|glass|blue|skin|liquid|plastic|air|weather|view|conscience|cut|majority|path|road	explanation|account|prose|writing|argument|style|analysis|summary|description|exposition|essay|presentation|reasoning	
easy to understand	lucid	lucid	ADJ	readily comprehensible in expression			
relevant	pertinent	pertinent	ADJ	closely connected to the matter at hand			
to the point	pertinent	pertinent	ADJ	directly bearing on the matter under discussion			
decency	propriety	propriety	NOUN	conformity to accepted standards of decent behaviour			
appropriateness	propriety	propriety	NOUN	the quality of being suitable or proper in conduct			
