group	word	gloss
25	proxy	the authority to represent someone else
25	relent	become less severe or intense
25	rhetoric	the art of effective or persuasive speaking or writing
25	rigor	strictness, severity, thoroughness
25	sparse	thinly dispersed or scattered, in short supply
25	steadfast	resolutely firm and unwavering, loyal
25	suspect	doubt the genuineness of
25	tedious	too long, slow or dull
25	vitality	the state of being strong and active, energy
25	whimsical	playfully fanciful, acting in a capricious manner
25	yield	produce or provide, surrender, give way
25	ploy	a cunning plan
26	apprehensive	anxious or fearful that something bad will happen
26	ardent	very enthusiastic or passionate
26	axiomatic	self-evident or unquestionable
26	cease	come or bring to an end
26	conducive	making a certain situation likely or possible
26	corporeal	relating to a person's body as opposed to their spirit
26	doctrinaire	dogmatic, rigidly imposing a doctrine regardless of practicality
26	eclectic	deriving ideas or style from a broad and diverse range
26	equanimity	calmness and composure, especially in a difficult situation
26	exorbitant	unreasonably high in price or amount
26	fickle	changing frequently, especially in loyalties, capricious
26	figurative	departing from a literal use of words, metaphorical
26	flustered	agitated or confused
26	gullible	easily persuaded to believe something, credulous
26	idiosyncratic	peculiar or individual
26	incidental	occurring by chance, less important
26	ingrained	firmly fixed or established, difficult to change
26	insolent	showing a rude and arrogant lack of respect
26	lampoon	publicly criticize using ridicule, irony or sarcasm
26	lavish	very generous or extravagant, rich
26	lugubrious	looking or sounding sad and dismal
26	macabre	disturbing because concerned with death
26	morose	sullen and ill-tempered
26	officious	intrusively enthusiastic in offering help, interfering
26	ramification	a complex or unwelcome consequence of an action
26	serene	calm, peaceful and untroubled, tranquil
26	supplant	supersede and replace
26	tacit	understood or implied without being stated, implicit
26	transcend	go beyond the range of, surpass
26	treatise	a written work dealing formally with a subject
27	antagonistic	showing or feeling active opposition, hostile
27	barren	unproductive, infertile, lifeless
27	bombastic	high-sounding but with little meaning, inflated
27	cajole	persuade someone to do something by flattery
27	chary	wary, cautiously reluctant to do something
27	curmudgeon	a bad-tempered person, especially an old one
27	dirge	a lament for the dead
27	estimable	worthy of great respect
27	euphemism	a mild or polite term used in place of a blunt one
27	excoriate	criticize severely
27	exigent	pressing, demanding
27	haughty	arrogantly superior and disdainful
27	heady	intoxicating, having a strong or exhilarating effect
27	implacable	unable to be appeased or placated
27	lambaste	criticize harshly
27	miscreant	a person who has done something wrong or unlawful
27	peccadillo	a relatively minor fault or sin
27	philistine	hostile or indifferent to culture and the arts
27	relegate	assign an inferior rank or position to
27	repugnant	extremely distasteful, unacceptable
27	sentimental	prompted by feelings of tenderness, sadness or nostalgia
27	squander	waste in a reckless manner
27	swindle	use deception to deprive someone of money or possessions
27	tangible	perceptible by touch, clear and definite
27	turpitude	depraved or wicked behavior or character
27	unalloyed	pure, complete and unreserved
27	undercut	offer goods or services at a lower price than a competitor
27	wheedle	use flattery or coaxing to persuade someone
27	xenophobic	showing dislike of people from other countries
27	imperturbable	unable to be upset or excited, calm
28	abeyance	a state of suspension or dormancy, pending
28	abstract	consider theoretically or separately from something else
28	affront	an action or remark that causes outrage or offense
28	agitated	feeling or appearing troubled or nervous, perturbed
28	august	respected and impressive, distinguished, venerable
28	burnish	polish up, enhance or perfect a reputation or skill
28	coy	making a pretense of shyness, reluctant to give details
28	deprecate	express disapproval of, frown on, object to
28	disdain	scorn, regard with contempt, sneer at
28	disperse	break up, scatter, go in different directions
28	distend	swell or cause to swell by pressure from inside, bulge
28	endemic	found particularly in a specific area or group
28	enmity	the state of being actively opposed or hostile, animosity
28	gauche	lacking ease or grace, socially awkward, unsophisticated
28	hysterical	deriving from uncontrolled extreme emotion, overwrought
28	impudent	not showing due respect, impertinent, brazen, cheeky
28	inchoate	just begun, rudimentary, confused or incoherent
28	penchant	a liking, fondness, inclination, predilection
28	quandary	a state of perplexity or uncertainty over what to do
28	quarantined	isolated
28	quash	reject or void, cancel, suppress, put an end to
28	quibble	a slight criticism about a trivial matter, nitpicking
28	ravage	lay waste, devastate, wreak havoc on
28	recant	say that one no longer holds an opinion or belief, retract
28	redoubtable	formidable, especially as an opponent, fearsome
28	retiring	shy and fond of being on one's own, self-effacing
28	shrill	high-pitched, piercing, screeching
28	sophistry	the use of fallacious arguments, especially to deceive
28	substantiate	prove, show to be true, corroborate
28	wily	skilled at gaining an advantage deceitfully, crafty, shrewd
29	abscond	leave hurriedly and secretly to avoid detection
29	apogee	the highest point in the development of something, climax
29	aspersion	an attack on the reputation or integrity of someone
29	bawdy	dealing with sexual matters in a comical way, indecent
29	chagrin	distress or embarrassment at having failed
29	collude	cooperate secretly or unlawfully in order to deceive
29	commiserate	offer sympathy to, condole with
29	conflagration	an extensive fire which destroys a great deal
29	contretemps	a minor dispute or disagreement
29	conviction	a firmly held belief, or a declaration of guilt
29	croon	hum or sing in a soft, low, sentimental voice
29	depose	remove from office suddenly and forcefully
29	detente	the easing of hostility or strained relations
29	dowdy	unfashionable and without style in appearance
29	echelon	a level, rank or position
29	ennui	listlessness and dissatisfaction from lack of occupation
29	expatiate	speak or write at length or in detail
29	fraught	filled with or likely to result in something undesirable
29	fulcrum	a thing that plays a central or essential role
29	imbroglio	an extremely confused or embarrassing situation
29	jocund	cheerful and lighthearted
29	languish	weaken, deteriorate, waste away, be disregarded
29	nadir	the lowest point in the fortunes of a person or organization
29	nimble	quick and light in movement or action, agile
29	ominous	giving the impression that something bad will happen
29	outlandish	looking or sounding bizarre or unfamiliar
29	propitious	giving or indicating a good chance of success, favorable
29	prurient	having or encouraging an excessive interest in sexual matters
29	sadistic	deriving pleasure from inflicting pain or humiliation
29	zenith	the time at which something is most powerful or successful
30	abide	continue, or comply with
30	aberrant	deviant, departing from an accepted standard
30	bravado	a show of boldness intended to impress or intimidate
30	callow	inexperienced and immature
30	capitulate	surrender, give in, yield, concede defeat
30	cogitate	think deeply about, muse on
30	deportment	a person's behavior or manners
30	extemporize	improvise, ad lib
30	factious	divided, schismatic, argumentative
30	fallow	uncultivated, inactive, dormant
30	feint	a bluff, a deceptive movement
30	flagrant	conspicuously or obviously offensive
30	gratuitous	uncalled for, unwarranted, or given free of charge
30	grovel	crawl, behave obsequiously
30	indecorous	improper, unseemly
30	intrigue	the secret planning of something illicit
30	nominal	token, tiny, in name only
30	obdurate	stubbornly refusing to change one's opinion or course
30	obstreperous	noisy and difficult to control
30	odious	extremely unpleasant, repulsive
30	plucky	brave, intrepid
30	precocious	advanced beyond one's years
30	remuneration	payment, earnings
30	slovenly	messy and dirty, careless, excessively casual
30	soliloquy	an interior monologue spoken aloud
30	spurn	reject with disdain or contempt
30	stolid	impassive, calm, showing little emotion
30	temerity	excessive confidence or boldness, audacity
30	tenuous	slight, very slender, thin, insubstantial
30	verve	vigor, buoyancy, enthusiasm
